time,x,y,z
0.00000000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.00000000e-01,2.20298391e+00,1.09327648e+00,3.87985808e+00
2.00000000e-01,2.40277693e+00,1.16482040e+00,3.71908374e+00
3.00000000e-01,2.58315607e+00,1.20146276e+00,3.52293773e+00
4.00000000e-01,2.72726495e+00,1.19135151e+00,3.30369954e+00
5.00000000e-01,2.82103447e+00,1.12795236e+00,3.08025544e+00
6.00000000e-01,2.85654845e+00,1.01334652e+00,2.87470379e+00
7.00000000e-01,2.83342775e+00,8.58828044e-01,2.70716117e+00
8.00000000e-01,2.75767426e+00,6.82221181e-01,2.59105266e+00
9.00000000e-01,2.63899039e+00,5.03218929e-01,2.53091076e+00
1.00000000e+00,2.48819616e+00,3.38906682e-01,2.52313002e+00
1.10000000e+00,2.31568860e+00,2.01016154e-01,2.55865823e+00
1.20000000e+00,2.13088682e+00,9.52439668e-02,2.62616706e+00
1.30000000e+00,1.94213868e+00,2.21062199e-02,2.71463896e+00
1.40000000e+00,1.75667603e+00,-2.14651675e-02,2.81493284e+00
1.50000000e+00,1.58050129e+00,-4.04488890e-02,2.92037072e+00
1.60000000e+00,1.41827279e+00,-4.03764289e-02,3.02662901e+00
1.70000000e+00,1.27328050e+00,-2.64276577e-02,3.13126507e+00
1.80000000e+00,1.14754726e+00,-2.94718677e-03,3.23314237e+00
1.90000000e+00,1.04203366e+00,2.67285581e-02,3.33191290e+00
2.00000000e+00,9.56899123e-01,6.02534022e-02,3.42762192e+00
2.10000000e+00,8.91773596e-01,9.61583169e-02,3.52043994e+00
2.20000000e+00,8.46008571e-01,1.33706294e-01,3.61049674e+00
2.30000000e+00,8.18891855e-01,1.72750618e-01,3.69778438e+00
2.40000000e+00,8.09821646e-01,2.13612720e-01,3.78209850e+00
2.50000000e+00,8.18441577e-01,2.56983893e-01,3.86299354e+00
2.60000000e+00,8.44739940e-01,3.03847862e-01,3.93973384e+00
