time,x,y,z
0.00000000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
5.00000000e-04,2.00100012e+00,1.00049987e+00,3.99949950e+00
1.00000000e-03,2.00200050e+00,1.00099950e+00,3.99899800e+00
1.50000000e-03,2.00300112e+00,1.00149887e+00,3.99849550e+00
2.00000000e-03,2.00400199e+00,1.00199799e+00,3.99799200e+00
2.50000000e-03,2.00500310e+00,1.00249685e+00,3.99748749e+00
3.00000000e-03,2.00600445e+00,1.00299545e+00,3.99698199e+00
3.50000000e-03,2.00700605e+00,1.00349380e+00,3.99647548e+00
4.00000000e-03,2.00800788e+00,1.00399189e+00,3.99596797e+00
4.50000000e-03,2.00900996e+00,1.00448972e+00,3.99545946e+00
5.00000000e-03,2.01001227e+00,1.00498729e+00,3.99494994e+00
5.50000000e-03,2.01101482e+00,1.00548460e+00,3.99443942e+00
6.00000000e-03,2.01201760e+00,1.00598164e+00,3.99392789e+00
6.50000000e-03,2.01302062e+00,1.00647841e+00,3.99341537e+00
7.00000000e-03,2.01402387e+00,1.00697492e+00,3.99290183e+00
7.50000000e-03,2.01502735e+00,1.00747117e+00,3.99238729e+00
8.00000000e-03,2.01603105e+00,1.00796714e+00,3.99187175e+00
8.50000000e-03,2.01703499e+00,1.00846284e+00,3.99135520e+00
9.00000000e-03,2.01803915e+00,1.00895828e+00,3.99083764e+00
9.50000000e-03,2.01904354e+00,1.00945343e+00,3.99031908e+00
1.00000000e-02,2.02004815e+00,1.00994832e+00,3.98979951e+00
1.05000000e-02,2.02105298e+00,1.01044293e+00,3.98927894e+00
1.10000000e-02,2.02205803e+00,1.01093726e+00,3.98875736e+00
1.15000000e-02,2.02306331e+00,1.01143132e+00,3.98823476e+00
1.20000000e-02,2.02406880e+00,1.01192509e+00,3.98771117e+00
1.25000000e-02,2.02507450e+00,1.01241859e+00,3.98718656e+00
1.30000000e-02,2.02608042e+00,1.01291180e+00,3.98666094e+00
1.35000000e-02,2.02708656e+00,1.01340473e+00,3.98613432e+00
1.40000000e-02,2.02809290e+00,1.01389737e+00,3.98560668e+00
1.45000000e-02,2.02909946e+00,1.01438973e+00,3.98507804e+00
1.50000000e-02,2.03010623e+00,1.01488180e+00,3.98454839e+00
1.55000000e-02,2.03111320e+00,1.01537359e+00,3.98401772e+00
