time,x,y,z
1.97500000e+02,-2.89310241e+00,2.65769274e-02,1.99955400e+00
1.97600000e+02,-2.58667974e+00,2.67713551e-01,2.14137711e+00
1.97700000e+02,-2.26550074e+00,4.19611038e-01,2.32608444e+00
1.97800000e+02,-1.94277282e+00,4.94901572e-01,2.52326208e+00
1.97900000e+02,-1.63119113e+00,5.12546346e-01,2.71386962e+00
1.98000000e+02,-1.34137331e+00,4.91770470e-01,2.88881238e+00
1.98100000e+02,-1.08060251e+00,4.48726934e-01,3.04588539e+00
1.98200000e+02,-8.52560017e-01,3.95413661e-01,3.18671029e+00
1.98300000e+02,-6.57844654e-01,3.39933519e-01,3.31446146e+00
1.98400000e+02,-4.94825306e-01,2.87300681e-01,3.43250660e+00
1.98500000e+02,-3.60485402e-01,2.40313268e-01,3.54375884e+00
1.98600000e+02,-2.51100434e-01,2.00286990e-01,3.65047131e+00
1.98700000e+02,-1.62715741e-01,1.67604831e-01,3.75425965e+00
1.98800000e+02,-9.14500479e-02,1.42105713e-01,3.85621573e+00
1.98900000e+02,-3.36658861e-02,1.23352085e-01,3.95703875e+00
1.99000000e+02,1.39553575e-02,1.10812800e-01,4.05715026e+00
1.99100000e+02,5.44049725e-02,1.03989070e-01,4.15678188e+00
1.99200000e+02,9.03851414e-02,1.02503668e-01,4.25603528e+00
1.99300000e+02,1.24381211e-01,1.06168347e-01,4.35491775e+00
1.99400000e+02,1.58761152e-01,1.15041346e-01,4.45335709e+00
1.99500000e+02,1.95900111e-01,1.29485298e-01,4.55119722e+00
1.99600000e+02,2.38332174e-01,1.50235251e-01,4.64817334e+00
1.99700000e+02,2.88935380e-01,1.78486498e-01,4.74385982e+00
1.99800000e+02,3.51159377e-01,2.16011756e-01,4.83757739e+00
1.99900000e+02,4.29306791e-01,2.65315713e-01,4.92823386e+00
2.00000000e+02,5.28876070e-01,3.29828610e-01,5.01405371e+00
2.00100000e+02,6.56957299e-01,4.14121737e-01,5.09212056e+00
2.00200000e+02,8.22624323e-01,5.24078631e-01,5.15761083e+00
2.00300000e+02,1.03714625e+00,6.66838936e-01,5.20254142e+00
2.00400000e+02,1.31357192e+00,8.50077558e-01,5.21383732e+00
2.00500000e+02,1.66471573e+00,1.07969815e+00,5.17071379e+00
2.00600000e+02,2.09779717e+00,1.35434185e+00,5.04222134e+00
2.00700000e+02,2.60368096e+00,1.65499884e+00,4.78813907e+00
2.00800000e+02,3.14155568e+00,1.93119224e+00,4.37029336e+00
2.00900000e+02,3.63016165e+00,2.09567536e+00,3.78158452e+00
2.01000000e+02,3.96848279e+00,2.05091198e+00,3.08273393e+00
2.01100000e+02,4.09104368e+00,1.75105565e+00,2.40505436e+00
2.01200000e+02,4.00860840e+00,1.24645599e+00,1.89037565e+00
2.01300000e+02,3.78455997e+00,6.56693470e-01,1.61700999e+00
2.01400000e+02,3.47995255e+00,1.03286660e-01,1.57998239e+00
2.01500000e+02,3.12787687e+00,-3.34622309e-01,1.72076869e+00
2.01600000e+02,2.74288432e+00,-6.27680673e-01,1.96474841e+00
2.01700000e+02,2.33761089e+00,-7.84537022e-01,2.24628144e+00
2.01800000e+02,1.92930910e+00,-8.34887242e-01,2.52039210e+00
2.01900000e+02,1.53694567e+00,-8.14198759e-01,2.76397515e+00
2.02000000e+02,1.17604911e+00,-7.53752038e-01,2.97056037e+00
2.02100000e+02,8.55915537e-01,-6.76609178e-01,3.14323611e+00
2.02200000e+02,5.79656326e-01,-5.97689934e-01,3.28889854e+00
2.02300000e+02,3.45733879e-01,-5.25625860e-01,3.41480021e+00
2.02400000e+02,1.49737066e-01,-4.64839644e-01,3.52699751e+00
