time,x,y,z
0.0000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.0000e-02,2.02004815e+00,1.00994832e+00,3.98979951e+00
2.0000e-02,2.04018506e+00,1.01978644e+00,3.97919623e+00
3.0000e-02,2.06039912e+00,1.02950387e+00,3.96818770e+00
4.0000e-02,2.08067829e+00,1.03908976e+00,3.95677183e+00
5.0000e-02,2.10101016e+00,1.04853299e+00,3.94494698e+00
6.0000e-02,2.12131870e+00,1.05809105e+00,3.93341618e+00
7.0000e-02,2.14173209e+00,1.06731552e+00,3.92096869e+00
8.0000e-02,2.16217134e+00,1.07637158e+00,3.90810732e+00
9.0000e-02,2.18262308e+00,1.08524729e+00,3.89483170e+00
1.0000e-01,2.20307332e+00,1.09393027e+00,3.88114191e+00
1.1000e-01,2.22350773e+00,1.10240785e+00,3.86703858e+00
1.2000e-01,2.24391155e+00,1.11066715e+00,3.85252288e+00
1.3000e-01,2.26426973e+00,1.11869507e+00,3.83759658e+00
1.4000e-01,2.28456683e+00,1.12647830e+00,3.82226205e+00
1.5000e-01,2.30478711e+00,1.13400337e+00,3.80652229e+00
1.6000e-01,2.32491452e+00,1.14125667e+00,3.79038094e+00
1.7000e-01,2.34493273e+00,1.14822445e+00,3.77384235e+00
1.8000e-01,2.36482513e+00,1.15489291e+00,3.75691152e+00
1.9000e-01,2.38457490e+00,1.16124816e+00,3.73959420e+00
2.0000e-01,2.40416498e+00,1.16727633e+00,3.72189684e+00
2.1000e-01,2.42357815e+00,1.17296352e+00,3.70382668e+00
2.2000e-01,2.44279703e+00,1.17829592e+00,3.68539167e+00
2.3000e-01,2.46180412e+00,1.18325979e+00,3.66660056e+00
2.4000e-01,2.48058182e+00,1.18784154e+00,3.64746289e+00
2.5000e-01,2.49911248e+00,1.19202774e+00,3.62798897e+00
2.6000e-01,2.51737846e+00,1.19580519e+00,3.60818990e+00
2.7000e-01,2.53536210e+00,1.19916094e+00,3.58807761e+00
2.8000e-01,2.55304583e+00,1.20208235e+00,3.56766479e+00
2.9000e-01,2.57041216e+00,1.20455713e+00,3.54696493e+00
3.0000e-01,2.58744377e+00,1.20657341e+00,3.52599231e+00
3.1000e-01,2.60412348e+00,1.20811972e+00,3.50476199e+00
3.2000e-01,2.62043438e+00,1.20918513e+00,3.48328978e+00
3.3000e-01,2.63635978e+00,1.20975921e+00,3.46159224e+00
3.4000e-01,2.65188334e+00,1.20983214e+00,3.43968665e+00
3.5000e-01,2.66698903e+00,1.20939471e+00,3.41759101e+00
3.6000e-01,2.68166126e+00,1.20843840e+00,3.39532396e+00
3.7000e-01,2.69588483e+00,1.20695539e+00,3.37290482e+00
3.8000e-01,2.70964503e+00,1.20493863e+00,3.35035351e+00
3.9000e-01,2.72292766e+00,1.20238185e+00,3.32769051e+00
4.0000e-01,2.73571908e+00,1.19927962e+00,3.30493685e+00
4.1000e-01,2.74800622e+00,1.19562740e+00,3.28211405e+00
4.2000e-01,2.75977665e+00,1.19142153e+00,3.25924407e+00
4.3000e-01,2.77101855e+00,1.18665929e+00,3.23634929e+00
4.4000e-01,2.78172084e+00,1.18133890e+00,3.21345240e+00
4.5000e-01,2.79187311e+00,1.17545959e+00,3.19057641e+00
4.6000e-01,2.80146568e+00,1.16902159e+00,3.16774456e+00
4.7000e-01,2.81048966e+00,1.16202612e+00,3.14498027e+00
4.8000e-01,2.81893690e+00,1.15447545e+00,3.12230708e+00
4.9000e-01,2.82680007e+00,1.14637290e+00,3.09974861e+00
5.0000e-01,2.83407263e+00,1.13772282e+00,3.07732845e+00
5.1000e-01,2.84074884e+00,1.12853059e+00,3.05507014e+00
5.2000e-01,2.84682383e+00,1.11880267e+00,3.03299713e+00
5.3000e-01,2.85229350e+00,1.10854653e+00,3.01113263e+00
5.4000e-01,2.85715460e+00,1.09777064e+00,2.98949965e+00
5.5000e-01,2.86140471e+00,1.08648453e+00,2.96812086e+00
5.6000e-01,2.86504222e+00,1.07469866e+00,2.94701860e+00
5.7000e-01,2.86806632e+00,1.06242448e+00,2.92621474e+00
5.8000e-01,2.87047700e+00,1.04967437e+00,2.90573069e+00
5.9000e-01,2.87227503e+00,1.03646161e+00,2.88558734e+00
6.0000e-01,2.87346195e+00,1.02280035e+00,2.86580496e+00
6.1000e-01,2.87404004e+00,1.00870557e+00,2.84640319e+00
6.2000e-01,2.87401230e+00,9.94193026e-01,2.82740097e+00
6.3000e-01,2.87338242e+00,9.79279233e-01,2.80881654e+00
6.4000e-01,2.87215477e+00,9.63981394e-01,2.79066731e+00
6.5000e-01,2.87033435e+00,9.48317365e-01,2.77296993e+00
6.6000e-01,2.86792680e+00,9.32305596e-01,2.75574016e+00
6.7000e-01,2.86493830e+00,9.15965083e-01,2.73899289e+00
6.8000e-01,2.86137563e+00,8.99315312e-01,2.72274211e+00
6.9000e-01,2.85724604e+00,8.82376207e-01,2.70700087e+00
7.0000e-01,2.85255729e+00,8.65168068e-01,2.69178126e+00
7.1000e-01,2.84731760e+00,8.47711518e-01,2.67709440e+00
7.2000e-01,2.84153560e+00,8.30027448e-01,2.66295043e+00
7.3000e-01,2.83522028e+00,8.12136956e-01,2.64935849e+00
7.4000e-01,2.82838102e+00,7.94061291e-01,2.63632671e+00
7.5000e-01,2.82102750e+00,7.75821801e-01,2.62386225e+00
7.6000e-01,2.81316970e+00,7.57439872e-01,2.61197123e+00
7.7000e-01,2.80481783e+00,7.38936879e-01,2.60065880e+00
7.8000e-01,2.79598235e+00,7.20334128e-01,2.58992911e+00
7.9000e-01,2.78667390e+00,7.01652810e-01,2.57978534e+00
8.0000e-01,2.77690332e+00,6.82913945e-01,2.57022970e+00
8.1000e-01,2.76668156e+00,6.64138340e-01,2.56126345e+00
8.2000e-01,2.75601969e+00,6.45346537e-01,2.55288695e+00
8.3000e-01,2.74492890e+00,6.26558774e-01,2.54509963e+00
8.4000e-01,2.73342043e+00,6.07794941e-01,2.53790004e+00
8.5000e-01,2.72150556e+00,5.89074539e-01,2.53128589e+00
8.6000e-01,2.70919562e+00,5.70416648e-01,2.52525406e+00
8.7000e-01,2.69650196e+00,5.51839886e-01,2.51980063e+00
8.8000e-01,2.68343590e+00,5.33362380e-01,2.51492092e+00
8.9000e-01,2.67000877e+00,5.15001739e-01,2.51060952e+00
9.0000e-01,2.65623184e+00,4.96775022e-01,2.50686033e+00
9.1000e-01,2.64211636e+00,4.78698718e-01,2.50366659e+00
9.2000e-01,2.62767351e+00,4.60788721e-01,2.50102088e+00
9.3000e-01,2.61291441e+00,4.43060312e-01,2.49891524e+00
9.4000e-01,2.59785011e+00,4.25528143e-01,2.49734114e+00
9.5000e-01,2.58249159e+00,4.08206222e-01,2.49628951e+00
9.6000e-01,2.56684971e+00,3.91107900e-01,2.49575083e+00
9.7000e-01,2.55093528e+00,3.74245864e-01,2.49571512e+00
9.8000e-01,2.53475898e+00,3.57632127e-01,2.49617203e+00
9.9000e-01,2.51833142e+00,3.41278025e-01,2.49711080e+00
1.0000e+00,2.50166309e+00,3.25194212e-01,2.49852036e+00
1.0100e+00,2.48476437e+00,3.09390663e-01,2.50038934e+00
1.0200e+00,2.46764556e+00,2.93876669e-01,2.50270610e+00
1.0300e+00,2.45031684e+00,2.78660847e-01,2.50545881e+00
1.0400e+00,2.43278826e+00,2.63751137e-01,2.50863540e+00
1.0500e+00,2.41506980e+00,2.49154815e-01,2.51222366e+00
1.0600e+00,2.39717131e+00,2.34878499e-01,2.51621127e+00
1.0700e+00,2.37910254e+00,2.20928154e-01,2.52058577e+00
1.0800e+00,2.36087312e+00,2.07309109e-01,2.52533468e+00
1.0900e+00,2.34249259e+00,1.94026066e-01,2.53044544e+00
1.1000e+00,2.32397038e+00,1.81083113e-01,2.53590550e+00
1.1100e+00,2.30531581e+00,1.68483738e-01,2.54170232e+00
1.1200e+00,2.28653808e+00,1.56230844e-01,2.54782339e+00
1.1300e+00,2.26764631e+00,1.44326768e-01,2.55425627e+00
1.1400e+00,2.24864950e+00,1.32773292e-01,2.56098860e+00
1.1500e+00,2.22955655e+00,1.21571667e-01,2.56800813e+00
1.1600e+00,2.21037626e+00,1.10722625e-01,2.57530273e+00
1.1700e+00,2.19111731e+00,1.00226404e-01,2.58286042e+00
1.1800e+00,2.17178829e+00,9.00827586e-02,2.59066938e+00
1.1900e+00,2.15239767e+00,8.02909879e-02,2.59871796e+00
1.2000e+00,2.13295383e+00,7.08499493e-02,2.60699471e+00
1.2100e+00,2.11346503e+00,6.17580806e-02,2.61548838e+00
1.2200e+00,2.09393942e+00,5.30134195e-02,2.62418794e+00
1.2300e+00,2.07438506e+00,4.46136234e-02,2.63308259e+00
1.2400e+00,2.05480988e+00,3.65559894e-02,2.64216177e+00
1.2500e+00,2.03522171e+00,2.88374740e-02,2.65141517e+00
1.2600e+00,2.01562825e+00,2.14547135e-02,2.66083273e+00
1.2700e+00,1.99603710e+00,1.44040426e-02,2.67040466e+00
1.2800e+00,1.97645574e+00,7.68151472e-03,2.68012143e+00
1.2900e+00,1.95689153e+00,1.28292036e-03,2.68997379e+00
1.3000e+00,1.93735171e+00,-4.79619366e-03,2.69995276e+00
1.3100e+00,1.91784340e+00,-1.05605059e-02,2.71004966e+00
1.3200e+00,1.89837360e+00,-1.60149023e-02,2.72025606e+00
1.3300e+00,1.87894915e+00,-2.11644582e-02,2.73056385e+00
1.3400e+00,1.85957681e+00,-2.60144217e-02,2.74096518e+00
1.3500e+00,1.84026317e+00,-3.05701962e-02,2.75145249e+00
1.3600e+00,1.82101472e+00,-3.48373245e-02,2.76201850e+00
1.3700e+00,1.80183779e+00,-3.88214732e-02,2.77265623e+00
1.3800e+00,1.78273858e+00,-4.25284168e-02,2.78335895e+00
1.3900e+00,1.76372316e+00,-4.59640236e-02,2.79412024e+00
1.4000e+00,1.74479745e+00,-4.91342412e-02,2.80493393e+00
1.4100e+00,1.72596723e+00,-5.20450829e-02,2.81579414e+00
1.4200e+00,1.70723814e+00,-5.47026144e-02,2.82669522e+00
1.4300e+00,1.68861568e+00,-5.71129416e-02,2.83763182e+00
1.4400e+00,1.67010520e+00,-5.92821986e-02,2.84859884e+00
1.4500e+00,1.65171189e+00,-6.12165360e-02,2.85959141e+00
1.4600e+00,1.63344082e+00,-6.29221101e-02,2.87060493e+00
1.4700e+00,1.61529688e+00,-6.44050728e-02,2.88163503e+00
1.4800e+00,1.59728483e+00,-6.56715617e-02,2.89267758e+00
1.4900e+00,1.57940929e+00,-6.67276907e-02,2.90372866e+00
1.5000e+00,1.56167470e+00,-6.75795419e-02,2.91478459e+00
1.5100e+00,1.54408538e+00,-6.82331565e-02,2.92584190e+00
1.5200e+00,1.52664548e+00,-6.86945280e-02,2.93689733e+00
1.5300e+00,1.50935901e+00,-6.89695946e-02,2.94794783e+00
1.5400e+00,1.49222983e+00,-6.90642326e-02,2.95899052e+00
1.5500e+00,1.47526164e+00,-6.89842501e-02,2.97002273e+00
1.5600e+00,1.45845802e+00,-6.87353817e-02,2.98104196e+00
1.5700e+00,1.44182236e+00,-6.83232826e-02,2.99204591e+00
1.5800e+00,1.42535794e+00,-6.77535241e-02,3.00303240e+00
1.5900e+00,1.40906789e+00,-6.70315892e-02,3.01399946e+00
1.6000e+00,1.39295518e+00,-6.61628685e-02,3.02494524e+00
1.6100e+00,1.37702264e+00,-6.51526562e-02,3.03586805e+00
1.6200e+00,1.36127299e+00,-6.40061475e-02,3.04676635e+00
1.6300e+00,1.34570876e+00,-6.27284350e-02,3.05763873e+00
1.6400e+00,1.33033240e+00,-6.13245065e-02,3.06848389e+00
1.6500e+00,1.31514617e+00,-5.97992427e-02,3.07930068e+00
1.6600e+00,1.30015224e+00,-5.81574151e-02,3.09008804e+00
1.6700e+00,1.28535263e+00,-5.64036844e-02,3.10084505e+00
1.6800e+00,1.27074924e+00,-5.45425993e-02,3.11157085e+00
1.6900e+00,1.25634383e+00,-5.25785949e-02,3.12226473e+00
1.7000e+00,1.24213806e+00,-5.05159923e-02,3.13292603e+00
1.7100e+00,1.22813345e+00,-4.83589977e-02,3.14355420e+00
1.7200e+00,1.21433140e+00,-4.61117021e-02,3.15414877e+00
1.7300e+00,1.20073322e+00,-4.37780811e-02,3.16470933e+00
1.7400e+00,1.18734009e+00,-4.13619946e-02,3.17523557e+00
1.7500e+00,1.17415307e+00,-3.88671873e-02,3.18572723e+00
1.7600e+00,1.16117313e+00,-3.62972888e-02,3.19618411e+00
1.7700e+00,1.14840114e+00,-3.36558142e-02,3.20660607e+00
1.7800e+00,1.13583787e+00,-3.09461647e-02,3.21699304e+00
1.7900e+00,1.12348396e+00,-2.81716282e-02,3.22734497e+00
1.8000e+00,1.11134000e+00,-2.53353805e-02,3.23766188e+00
1.8100e+00,1.09940647e+00,-2.24404859e-02,3.24794383e+00
1.8200e+00,1.08768375e+00,-1.94898986e-02,3.25819091e+00
1.8300e+00,1.07617215e+00,-1.64864637e-02,3.26840325e+00
1.8400e+00,1.06487190e+00,-1.34329188e-02,3.27858100e+00
1.8500e+00,1.05378314e+00,-1.03318947e-02,3.28872435e+00
1.8600e+00,1.04290594e+00,-7.18591744e-03,3.29883352e+00
1.8700e+00,1.03224030e+00,-3.99740959e-03,3.30890874e+00
1.8800e+00,1.02178614e+00,-7.68691648e-04,3.31895027e+00
1.8900e+00,1.01154332e+00,2.49801627e-03,3.32895838e+00
1.9000e+00,1.00151164e+00,5.80059283e-03,3.33893335e+00
1.9100e+00,9.91690846e-01,9.13701381e-03,3.34887549e+00
1.9200e+00,9.82080602e-01,1.25053504e-02,3.35878509e+00
1.9300e+00,9.72680537e-01,1.59037677e-02,3.36866249e+00
1.9400e+00,9.63490222e-01,1.93305226e-02,3.37850800e+00
1.9500e+00,9.54509180e-01,2.27839625e-02,3.38832195e+00
1.9600e+00,9.45736889e-01,2.62625230e-02,3.39810466e+00
1.9700e+00,9.37172782e-01,2.97647269e-02,3.40785647e+00
1.9800e+00,9.28816252e-01,3.32891817e-02,3.41757770e+00
1.9900e+00,9.20666656e-01,3.68345783e-02,3.42726868e+00
2.0000e+00,9.12723314e-01,4.03996892e-02,3.43692973e+00
2.0100e+00,9.04985513e-01,4.39833665e-02,3.44656116e+00
2.0200e+00,8.97452514e-01,4.75845404e-02,3.45616328e+00
2.0300e+00,8.90123546e-01,5.12022177e-02,3.46573639e+00
2.0400e+00,8.82997817e-01,5.48354795e-02,3.47528079e+00
2.0500e+00,8.76074511e-01,5.84834800e-02,3.48479676e+00
2.0600e+00,8.69352793e-01,6.21454446e-02,3.49428456e+00
2.0700e+00,8.62831810e-01,6.58206686e-02,3.50374445e+00
2.0800e+00,8.56510694e-01,6.95085151e-02,3.51317669e+00
2.0900e+00,8.50388565e-01,7.32084136e-02,3.52258150e+00
2.1000e+00,8.44464532e-01,7.69198587e-02,3.53195911e+00
2.1100e+00,8.38737694e-01,8.06424081e-02,3.54130971e+00
2.1200e+00,8.33207147e-01,8.43756814e-02,3.55063350e+00
2.1300e+00,8.27871979e-01,8.81193585e-02,3.55993064e+00
2.1400e+00,8.22731280e-01,9.18731783e-02,3.56920130e+00
2.1500e+00,8.17784137e-01,9.56369369e-02,3.57844560e+00
2.1600e+00,8.13029639e-01,9.94104867e-02,3.58766367e+00
2.1700e+00,8.08466881e-01,1.03193734e-01,3.59685561e+00
2.1800e+00,8.04094960e-01,1.06986641e-01,3.60602151e+00
2.1900e+00,7.99912984e-01,1.10789217e-01,3.61516142e+00
2.2000e+00,7.95920068e-01,1.14601528e-01,3.62427540e+00
2.2100e+00,7.92115338e-01,1.18423685e-01,3.63336346e+00
2.2200e+00,7.88497934e-01,1.22255849e-01,3.64242560e+00
2.2300e+00,7.85067009e-01,1.26098228e-01,3.65146182e+00
2.2400e+00,7.81821732e-01,1.29951077e-01,3.66047208e+00
2.2500e+00,7.78761289e-01,1.33814694e-01,3.66945631e+00
2.2600e+00,7.75884886e-01,1.37689422e-01,3.67841443e+00
2.2700e+00,7.73191749e-01,1.41575646e-01,3.68734635e+00
2.2800e+00,7.70681124e-01,1.45473794e-01,3.69625193e+00
